age,attrition,businesstravel,distancefromhome,education,educationfield,employeenumber,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,relationshipsatisfaction,standardhours,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,remotework,department,environmentsatisfaction
43,no,travel_frequently,27,3,life sciences,1126.0,f,3,3, manufacturing director ,1,married,,8,no,11,3,full_time,1,1,3.0,8,0,1,no,research & development,3
39,yes,travel_frequently,2,3,life sciences,,m,3,4, healthcare representative ,4,,,7,no,11,4,full_time,3,4,3.0,18,11,5,no,research & development,1
40,no,travel_rarely,14,3,,1128.0,m,2,5, research director ,3,,,1,no,14,1,part_time,0,2,,20,4,9,yes,research & development,3
29,no,travel_rarely,8,1,medical,,m,2,2, manufacturing director ,4,married,,1,,15,3,part_time,1,2,2.0,10,1,2,yes,research & development,2
40,no,,32,4,,,f,3,3, research director ,3,,13499.0,9,no,17,3,full_time,0,3,2.0,18,2,13,no,research & development,2
26,no,travel_rarely,3,4,,1177.0,m,4,1, laboratory technician ,4,,,1,,22,2,full_time,1,2,3.0,8,0,7,yes,research & development,1
35,no,travel_rarely,2,3,,1182.0,m,2,3, manufacturing director ,2,divorced,,2,no,18,2,part_time,1,2,4.0,7,6,4,yes,research & development,3
53,no,,7,2,medical,1201.0,f,3,5, manager ,3,divorced,,3,no,18,2,full_time,1,6,3.0,7,4,7,no,research & development,4
35,no,,17,4,life sciences,1218.0,m,3,2, sales executive ,1,,,3,,15,4,full_time,3,2,3.0,7,1,7,yes,sales,3
33,no,,25,3,medical,1220.0,f,3,2, sales executive ,3,,,1,no,12,1,full_time,1,3,2.0,10,0,1,yes,sales,2
36,no,,6,4,life sciences,,m,1,1, laboratory technician ,3,divorced,,1,no,14,3,full_time,1,4,3.0,7,1,7,yes,research & development,3
30,no,travel_rarely,7,4,life sciences,1224.0,m,3,2, laboratory technician ,3,divorced,3491.0,1,,13,1,full_time,3,4,2.0,10,8,9,yes,research & development,3
60,no,,29,4,,,m,4,2, sales executive ,4,divorced,5220.0,0,,18,2,full_time,1,3,3.0,11,1,9,yes,sales,2
32,no,,2,2,life sciences,1235.0,f,3,2, research scientist ,3,single,,4,yes,14,4,full_time,0,2,3.0,8,0,7,no,research & development,4
36,no,,1,3,technical degree,1237.0,f,1,3, manufacturing director ,1,divorced,10252.0,2,yes,21,3,full_time,1,2,3.0,7,7,7,yes,research & development,3
27,no,travel_rarely,14,3,,,m,3,1, research scientist ,1,,,1,,14,4,part_time,2,3,2.0,9,6,8,yes,research & development,1
43,no,,3,3,life sciences,1255.0,m,1,5, research director ,4,,19740.0,3,no,14,2,part_time,1,2,3.0,8,0,7,yes,research & development,3
29,no,travel_rarely,1,3,,1264.0,f,2,4, research director ,4,divorced,,3,no,14,2,full_time,2,2,2.0,7,1,7,yes,research & development,4
59,no,,24,4,,1283.0,m,3,3, manufacturing director ,4,single,,6,no,12,4,full_time,0,6,2.0,9,5,4,no,research & development,2
43,no,travel_rarely,4,4,marketing,1293.0,f,2,3, sales executive ,4,single,,3,no,14,4,full_time,0,3,4.0,21,15,17,yes,sales,4
44,yes,travel_rarely,15,3,medical,1295.0,f,3,3, healthcare representative ,4,married,,1,,11,4,part_time,1,2,3.0,10,0,5,yes,research & development,1
29,yes,,7,3,technical degree,,f,3,1, laboratory technician ,3,divorced,,3,yes,13,1,full_time,2,2,3.0,7,7,7,yes,research & development,2
32,no,travel_rarely,8,3,,,m,4,2, sales executive ,4,married,6209.0,1,,15,3,full_time,2,4,4.0,10,0,8,no,sales,3
36,no,travel_rarely,10,4,technical degree,,f,3,3, healthcare representative ,3,married,7094.0,3,no,12,1,full_time,0,0,3.0,7,1,7,yes,research & development,4
52,yes,,5,3,,,m,3,3, sales executive ,2,single,,9,yes,19,3,full_time,0,2,2.0,8,7,7,yes,sales,2
39,no,travel_rarely,33,2,,1322.0,m,3,2, manufacturing director ,3,single,4534.0,0,,11,1,full_time,0,6,,8,1,7,yes,research & development,1
34,no,,9,3,,1344.0,m,3,3, healthcare representative ,4,,8500.0,0,,11,4,part_time,1,0,2.0,9,1,6,yes,research & development,4
38,no,,2,2,life sciences,1355.0,f,3,2, sales executive ,1,,,3,,15,4,full_time,1,3,3.0,7,1,7,yes,sales,2
36,no,travel_frequently,12,3,marketing,1362.0,f,4,2, sales executive ,1,married,4639.0,2,no,16,4,full_time,1,2,2.0,15,6,13,yes,sales,1
35,no,,1,3,,1369.0,f,2,2, laboratory technician ,4,,5363.0,0,no,12,2,part_time,1,0,3.0,9,0,0,no,research & development,4
55,yes,,13,4,,,m,4,4, sales executive ,3,,,6,,17,3,part_time,0,2,2.0,19,3,8,yes,sales,1
34,no,,29,3,,1377.0,m,3,2, laboratory technician ,3,,,4,,13,1,full_time,2,1,3.0,8,7,7,no,research & development,2
43,no,,6,3,medical,1402.0,f,2,2, research scientist ,3,single,4081.0,1,yes,14,1,full_time,0,3,1.0,20,1,8,no,research & development,1
42,no,travel_rarely,10,3,human resources,1408.0,f,3,4, manager ,1,married,,0,,14,3,part_time,1,5,3.0,20,0,9,no,unknow,3
26,no,travel_rarely,7,3,,1417.0,m,4,1, laboratory technician ,1,single,3578.0,0,no,12,4,full_time,0,2,3.0,7,0,7,yes,research & development,3
29,yes,,14,1,other,1421.0,f,3,3, healthcare representative ,4,single,,0,yes,12,1,full_time,0,1,3.0,8,7,7,yes,research & development,3
54,no,,1,3,,1422.0,f,3,4, research director ,4,,17328.0,6,,19,4,full_time,0,3,2.0,20,12,7,no,research & development,4
55,no,,1,4,,1424.0,m,4,4, research director ,4,divorced,,2,no,13,4,part_time,2,4,4.0,7,0,0,yes,research & development,2
40,no,non_travel,9,4,other,,m,3,2, laboratory technician ,3,,,3,no,11,3,part_time,2,2,,8,0,7,yes,research & development,3
31,no,,8,2,,,m,3,3, sales executive ,4,divorced,10793.0,1,,18,1,full_time,1,5,3.0,13,9,9,yes,sales,1
46,yes,,9,3,marketing,1457.0,m,3,3, sales executive ,4,divorced,,4,no,11,1,full_time,1,1,4.0,7,4,3,yes,sales,1
45,no,travel_rarely,20,3,medical,1460.0,m,1,3, healthcare representative ,1,,10851.0,2,yes,18,2,part_time,1,2,3.0,7,0,7,no,research & development,2
49,no,travel_rarely,7,4,life sciences,1484.0,m,3,3, healthcare representative ,2,divorced,10466.0,3,,14,2,full_time,2,3,3.0,8,0,7,no,research & development,3
29,no,travel_rarely,19,3,,1497.0,m,2,2, sales executive ,3,,,1,,14,3,full_time,2,3,3.0,10,0,4,yes,sales,3
29,yes,,1,4,technical degree,1522.0,m,2,1, research scientist ,1,single,2362.0,6,no,13,3,full_time,0,2,1.0,9,0,7,yes,research & development,1
29,no,,8,1,other,1544.0,f,1,2, healthcare representative ,1,,,3,no,13,3,full_time,1,3,3.0,7,0,7,yes,research & development,3
40,no,travel_rarely,6,2,,,m,3,4, manager ,4,single,,1,yes,21,4,part_time,0,2,3.0,21,7,7,yes,human resources,3
48,no,,16,4,life sciences,,f,3,2, sales executive ,3,divorced,6439.0,8,no,14,3,full_time,1,2,,8,7,7,yes,sales,3
53,yes,,2,5,,1572.0,f,2,3, manufacturing director ,4,married,,0,,16,2,full_time,1,4,3.0,33,1,9,yes,research & development,3
44,no,,7,3,medical,1608.0,f,3,5, research director ,4,,,0,yes,14,4,part_time,1,4,2.0,22,1,10,no,research & development,2
45,no,,5,5,,1611.0,f,1,2, laboratory technician ,1,,5769.0,1,,14,1,full_time,0,3,3.0,10,1,4,no,research & development,3
45,no,non_travel,26,3,marketing,1612.0,m,2,2, sales executive ,1,,4385.0,1,,15,1,part_time,1,2,,10,4,5,no,sales,1
34,no,travel_frequently,10,4,,1615.0,m,4,2, manufacturing director ,4,,,1,,13,1,full_time,1,3,,9,7,2,yes,research & development,3
39,no,,10,5,medical,,m,3,2, manufacturing director ,1,,,2,,13,4,full_time,3,3,3.0,7,7,7,no,research & development,2
27,no,,36,3,,1619.0,m,2,1, laboratory technician ,1,divorced,4066.0,1,no,11,1,full_time,2,3,3.0,7,0,7,yes,research & development,3
45,no,travel_rarely,2,2,,1635.0,f,2,2, manufacturing director ,4,divorced,,1,,19,1,full_time,2,3,3.0,10,3,9,yes,research & development,4
44,no,,1,5,,1642.0,m,3,2, human resources ,4,married,,4,yes,11,3,full_time,0,3,3.0,10,0,2,yes,human resources,1
25,no,,2,1,life sciences,1653.0,m,4,2, manufacturing director ,3,divorced,5206.0,1,,17,3,full_time,2,6,3.0,7,0,7,no,research & development,4
49,no,,1,3,,,m,3,4, manager ,3,single,,4,,14,1,part_time,0,2,3.0,8,0,0,yes,unknow,3
48,yes,travel_frequently,7,2,,1691.0,f,3,1, sales representative ,3,,2655.0,2,,11,3,part_time,2,3,3.0,9,7,7,no,sales,4
26,no,,7,3,medical,1693.0,m,3,1, laboratory technician ,4,,2570.0,1,no,20,3,part_time,0,5,3.0,7,5,7,yes,research & development,4
44,no,travel_rarely,2,3,life sciences,1703.0,f,4,3, healthcare representative ,4,,,1,,19,2,full_time,1,2,3.0,8,6,7,yes,research & development,3
36,no,,2,4,,,f,3,2, sales representative ,4,single,4502.0,3,,15,3,full_time,0,2,2.0,13,6,7,yes,sales,3
46,no,,13,4,,1727.0,m,3,2, healthcare representative ,2,single,,6,no,14,4,full_time,0,3,3.0,10,0,9,yes,research & development,3
35,no,,27,4,life sciences,1728.0,m,3,2, manufacturing director ,3,married,,2,,16,2,part_time,1,3,3.0,7,0,7,yes,research & development,4
30,no,travel_frequently,2,4,,1745.0,f,2,1, research scientist ,1,,4968.0,0,,16,4,part_time,0,2,,9,0,7,no,research & development,4
30,no,,15,2,marketing,1754.0,m,2,3, sales executive ,1,,,2,no,11,1,part_time,1,2,3.0,7,1,7,yes,sales,3
33,no,non_travel,2,3,marketing,1756.0,f,3,2, sales executive ,2,,5147.0,8,no,15,4,full_time,0,2,2.0,11,1,7,yes,sales,4
32,no,,5,4,,1764.0,m,3,1, research scientist ,2,single,2718.0,2,no,14,2,full_time,0,3,3.0,7,0,7,yes,research & development,2
43,no,travel_rarely,2,3,life sciences,1778.0,m,3,1, human resources ,4,,3539.0,0,no,13,2,part_time,0,5,3.0,9,1,8,no,human resources,2
31,no,travel_rarely,29,4,marketing,,f,2,2, sales executive ,4,,5468.0,1,,14,1,full_time,2,3,3.0,12,5,7,yes,sales,1
35,yes,,27,3,,1797.0,m,3,2, sales executive ,4,,5813.0,1,,18,4,part_time,0,2,3.0,10,7,7,no,sales,3
35,no,non_travel,2,2,medical,1804.0,m,3,2, manufacturing director ,4,divorced,,2,no,14,3,full_time,1,6,3.0,7,1,7,no,research & development,2
30,no,,10,3,medical,1816.0,f,3,3, manufacturing director ,3,single,9667.0,9,no,14,2,full_time,0,3,3.0,7,0,2,no,research & development,1
46,yes,travel_rarely,19,2,medical,1821.0,f,3,2, healthcare representative ,2,married,,4,no,22,4,full_time,1,2,4.0,9,3,7,no,research & development,4
45,no,non_travel,2,4,,,f,3,2, sales executive ,3,married,5154.0,4,,22,2,full_time,2,3,4.0,8,5,7,no,sales,3
43,no,travel_frequently,2,4,life sciences,1849.0,m,3,2, sales executive ,4,married,5675.0,1,,20,3,full_time,1,5,3.0,7,7,7,no,sales,1
46,yes,,10,3,life sciences,1869.0,f,3,3, sales executive ,2,,7314.0,5,,21,3,part_time,3,2,3.0,8,0,7,yes,sales,3
40,no,travel_rarely,1,4,,,m,3,4, manager ,1,,,2,,11,1,full_time,1,3,,19,11,16,yes,research & development,1
27,no,travel_rarely,2,2,,1898.0,f,4,2, sales executive ,3,single,,0,no,14,2,full_time,0,5,2.0,8,0,7,no,sales,1
42,no,,6,3,medical,1911.0,m,3,3, research director ,1,married,,9,no,13,2,part_time,1,3,4.0,13,5,7,yes,research & development,3
26,no,travel_frequently,6,3,other,,m,4,1, laboratory technician ,4,married,,0,no,18,1,full_time,1,3,3.0,7,7,7,yes,research & development,3
28,no,travel_frequently,1,2,life sciences,1927.0,m,2,2, sales executive ,4,married,,1,,12,3,full_time,1,2,3.0,7,0,7,yes,sales,3
47,no,,14,4,,1934.0,m,3,2, research scientist ,2,married,,8,,18,3,part_time,1,4,4.0,8,1,7,no,research & development,3
34,no,travel_rarely,13,4,medical,1951.0,m,3,3, sales executive ,3,divorced,,1,no,18,3,full_time,1,2,2.0,8,1,1,yes,sales,4
26,no,,1,3,medical,1952.0,m,3,1, laboratory technician ,1,single,,0,no,13,4,full_time,0,6,,7,7,6,yes,research & development,3
27,no,travel_rarely,9,3,,1965.0,m,3,2, sales executive ,4,,,1,,14,1,full_time,0,5,,7,0,7,no,sales,4
31,yes,travel_frequently,26,4,marketing,1967.0,m,3,2, sales executive ,4,,,1,yes,11,3,full_time,0,4,3.0,10,0,8,yes,sales,1
33,no,travel_frequently,7,2,life sciences,,m,3,2, healthcare representative ,3,divorced,,1,,20,3,full_time,3,2,3.0,9,2,8,yes,research & development,4
31,no,,10,3,,1979.0,f,3,3, research director ,3,married,,4,no,20,3,full_time,1,2,4.0,11,4,8,yes,research & development,3
35,no,,9,4,medical,2008.0,m,3,2, research scientist ,3,,5098.0,1,no,19,2,full_time,0,5,3.0,10,0,8,yes,research & development,2
33,no,travel_rarely,15,2,,2009.0,f,3,2, healthcare representative ,4,married,,0,yes,13,1,full_time,1,6,3.0,9,8,1,yes,research & development,2
39,no,travel_rarely,24,1,life sciences,2014.0,m,3,2, research scientist ,4,single,,7,no,13,1,full_time,0,2,3.0,7,1,7,no,research & development,1
36,no,travel_rarely,46,3,,,f,2,3, sales executive ,4,married,,0,no,19,3,full_time,2,2,3.0,9,3,4,yes,sales,4
41,no,travel_rarely,28,4,life sciences,2034.0,f,2,4, manufacturing director ,2,married,13570.0,0,no,23,3,full_time,1,3,3.0,20,0,10,yes,research & development,1
34,no,,28,3,marketing,2035.0,f,2,2, sales executive ,3,married,6712.0,1,no,21,4,full_time,2,2,3.0,8,1,7,no,sales,4
38,no,travel_rarely,10,2,,,f,3,2, sales executive ,4,married,,1,no,11,3,full_time,1,1,3.0,10,1,9,yes,sales,1
39,no,travel_rarely,6,1,,2062.0,m,2,3, healthcare representative ,1,,9991.0,4,,15,1,part_time,1,5,3.0,7,1,7,yes,research & development,4
34,no,travel_rarely,7,4,,28.0,f,3,3, research director ,2,single,,0,no,11,3,full_time,0,4,3.0,12,2,11,no,research & development,1
44,no,travel_rarely,7,4,medical,,f,2,3, healthcare representative ,4,married,10248.0,3,,14,4,full_time,1,4,3.0,22,5,17,yes,research & development,1
46,no,,5,4,,62.0,m,3,2, sales executive ,4,single,,4,,21,3,full_time,0,4,3.0,9,0,8,yes,sales,1
41,no,travel_frequently,10,3,life sciences,199.0,m,2,4, manager ,1,divorced,,4,,13,2,full_time,1,2,2.0,7,7,7,no,research & development,4
39,no,,2,4,,343.0,f,3,3, healthcare representative ,3,single,10938.0,0,no,25,4,full_time,0,1,3.0,19,11,8,no,research & development,3
42,no,travel_rarely,2,3,medical,351.0,f,2,1, laboratory technician ,1,divorced,2593.0,0,yes,11,3,part_time,1,4,3.0,9,7,8,yes,research & development,4
33,no,travel_frequently,5,4,,428.0,f,3,3, manager ,2,married,11878.0,6,,11,2,part_time,2,2,3.0,10,8,8,yes,research & development,4
35,no,travel_rarely,5,4,technical degree,464.0,m,3,3, manufacturing director ,2,single,8095.0,0,no,13,4,part_time,0,5,3.0,16,0,13,yes,research & development,3
33,yes,travel_rarely,15,1,medical,,m,3,3, manager ,3,married,,7,,12,4,full_time,0,2,4.0,7,7,7,yes,unknow,2
40,no,travel_rarely,6,3,life sciences,,f,3,4, manufacturing director ,3,single,,7,no,15,3,full_time,0,3,3.0,20,5,13,no,research & development,2
41,no,travel_rarely,10,4,human resources,731.0,m,2,5, manager ,4,divorced,,3,no,15,2,full_time,3,2,2.0,21,12,6,no,unknow,2
27,no,,7,3,,764.0,f,2,2, healthcare representative ,1,,,8,no,19,1,full_time,0,2,1.0,7,0,7,no,research & development,4
52,no,travel_rarely,3,4,marketing,,m,2,4, manager ,1,,16856.0,1,,11,1,full_time,0,3,4.0,34,1,16,yes,unknow,3
51,no,travel_rarely,26,4,marketing,851.0,f,3,4, manager ,3,married,,2,no,14,3,full_time,1,2,2.0,20,4,17,no,unknow,1
47,no,travel_rarely,2,2,marketing,903.0,f,3,2, sales executive ,4,,4537.0,0,,22,1,full_time,1,2,3.0,7,7,7,yes,sales,3
50,no,non_travel,2,4,,905.0,m,3,4, manager ,1,divorced,17924.0,1,,11,4,full_time,1,3,3.0,31,14,7,no,research & development,1
35,no,travel_rarely,21,1,life sciences,942.0,f,3,2, healthcare representative ,4,married,4014.0,1,,25,4,full_time,1,2,1.0,10,0,7,yes,research & development,4
39,no,travel_rarely,1,1,,1026.0,f,2,4, manufacturing director ,4,married,12742.0,1,no,16,3,full_time,1,3,3.0,21,11,8,yes,research & development,4
39,no,travel_frequently,22,3,medical,,f,3,3, manufacturing director ,1,single,,1,,13,3,full_time,0,2,3.0,21,2,8,no,research & development,4
41,no,,7,2,,1085.0,f,4,1, research scientist ,3,,3376.0,1,no,13,3,part_time,0,3,3.0,10,0,8,no,research & development,2
44,yes,,1,2,medical,,m,2,3, human resources ,1,married,10482.0,9,no,14,4,part_time,1,1,3.0,20,3,6,yes,human resources,2
42,no,,2,2,medical,1109.0,m,3,4, manager ,1,,,0,no,17,4,full_time,1,3,3.0,22,13,7,no,unknow,4
52,no,travel_rarely,7,4,life sciences,1118.0,m,3,3, healthcare representative ,2,single,,7,,19,4,full_time,0,4,,8,4,0,yes,research & development,2
38,no,,1,3,,1152.0,m,4,1, human resources ,3,,,1,no,13,4,full_time,1,2,4.0,7,5,0,yes,human resources,3
46,no,,1,2,life sciences,,f,3,1, human resources ,1,,,6,,12,3,part_time,0,3,4.0,7,5,7,yes,human resources,4
35,no,,4,4,life sciences,1350.0,m,3,2, research scientist ,3,single,4249.0,1,,11,2,full_time,0,3,3.0,9,1,1,no,research & development,3
28,no,travel_rarely,29,1,life sciences,1514.0,m,1,2, manufacturing director ,2,married,6549.0,1,,14,2,full_time,2,2,2.0,8,1,7,yes,research & development,3
44,no,,28,3,life sciences,1523.0,m,3,4, research director ,1,married,,3,no,13,3,full_time,1,1,4.0,20,14,17,yes,research & development,4
50,no,,22,5,,1539.0,m,1,4, research director ,4,,14411.0,1,,13,4,full_time,0,2,3.0,32,13,9,no,research & development,3
55,no,travel_rarely,23,5,marketing,,m,2,5, manager ,4,,19586.0,1,no,21,3,part_time,1,3,3.0,36,2,13,yes,unknow,3
39,no,,6,3,,1588.0,m,4,3, sales executive ,3,married,8237.0,2,no,11,1,full_time,1,3,3.0,7,7,6,yes,sales,4
49,no,,13,4,,1617.0,f,3,1, laboratory technician ,1,,3211.0,1,,14,4,full_time,1,3,2.0,9,1,4,yes,research & development,1
45,no,,28,2,technical degree,1719.0,f,2,4, research director ,2,single,16704.0,1,,11,3,full_time,0,2,3.0,21,8,6,no,research & development,4
46,no,,2,3,,,m,3,3, sales executive ,4,,,4,,12,2,full_time,1,5,2.0,10,0,3,no,sales,3
27,no,,15,3,,1870.0,f,2,1, research scientist ,1,married,4774.0,0,no,19,4,full_time,1,2,,7,7,3,no,research & development,4
42,no,travel_rarely,2,3,,2031.0,m,3,5, manager ,3,married,,5,,11,1,full_time,0,2,2.0,22,4,14,yes,unknow,1
49,no,,2,3,,2065.0,m,2,2, sales executive ,2,married,,2,,14,4,part_time,0,3,2.0,9,0,8,yes,sales,4
29,no,travel_rarely,15,2,life sciences,15.0,f,2,2, laboratory technician ,3,single,,0,yes,12,4,full_time,0,3,3.0,9,0,8,yes,research & development,4
34,no,non_travel,12,4,marketing,60.0,m,3,2, sales executive ,3,,4568.0,0,no,20,3,full_time,0,2,3.0,9,8,7,no,sales,1
37,no,,1,4,,,m,2,2, manufacturing director ,3,divorced,5993.0,1,no,18,3,part_time,1,2,,7,0,7,no,research & development,1
36,no,,11,3,,85.0,m,2,2, manufacturing director ,2,single,6499.0,1,no,13,3,full_time,0,3,3.0,6,0,3,yes,research & development,2
45,no,,29,3,,,m,3,1, research scientist ,4,single,3452.0,5,,13,2,full_time,0,2,2.0,6,0,3,yes,research & development,3
29,no,travel_rarely,15,3,,346.0,m,3,1, research scientist ,4,,,1,no,19,1,full_time,0,1,3.0,6,1,5,no,research & development,3
26,no,,1,3,,384.0,f,3,2, manufacturing director ,2,,6397.0,1,no,20,1,part_time,1,6,1.0,6,1,4,no,research & development,3
28,no,,9,4,life sciences,498.0,m,3,2, sales executive ,4,single,,1,no,16,4,full_time,0,1,3.0,7,0,7,yes,sales,2
42,no,travel_frequently,30,4,technical degree,551.0,f,2,2, healthcare representative ,4,married,,0,no,11,4,part_time,3,4,4.0,6,0,4,yes,research & development,4
31,no,travel_rarely,2,1,life sciences,604.0,m,3,2, sales executive ,4,,,4,yes,13,3,part_time,0,2,4.0,6,0,5,yes,sales,2
37,no,travel_rarely,47,3,,,f,3,3, manufacturing director ,4,single,,4,,17,4,full_time,0,3,4.0,6,1,2,yes,research & development,4
37,no,non_travel,9,4,,626.0,m,3,3, sales executive ,2,divorced,,1,no,13,4,full_time,1,6,3.0,9,7,7,no,sales,1
37,no,travel_rarely,1,4,life sciences,,f,3,2, manufacturing director ,2,married,,6,,12,2,full_time,1,2,2.0,6,4,3,no,research & development,2
24,no,travel_rarely,23,3,medical,,m,4,1, research scientist ,4,,2725.0,1,,11,2,full_time,2,3,3.0,6,1,4,yes,research & development,2
50,no,,3,3,,644.0,m,3,5, manager ,2,married,,1,no,11,3,part_time,1,2,3.0,32,10,7,no,unknow,1
34,no,,1,2,life sciences,649.0,m,2,1, research scientist ,4,,3622.0,1,yes,13,4,full_time,1,3,3.0,6,1,3,yes,research & development,2
27,no,travel_frequently,3,1,medical,714.0,f,4,2, sales executive ,4,,,1,,20,2,part_time,2,3,3.0,6,0,4,no,sales,4
25,no,,42,1,,781.0,f,3,2, sales executive ,4,single,6180.0,1,no,23,2,full_time,0,5,2.0,6,1,4,no,sales,4
34,no,,25,3,other,,m,3,2, sales executive ,4,single,6274.0,1,no,22,3,full_time,0,5,3.0,6,1,4,yes,sales,4
34,no,,2,4,,804.0,f,2,1, research scientist ,1,,4381.0,1,,11,3,part_time,0,3,3.0,6,1,3,yes,research & development,3
35,no,,7,3,other,,m,3,3, manufacturing director ,3,single,,3,no,21,2,full_time,0,3,4.0,8,1,6,no,research & development,3
35,no,,16,1,medical,856.0,f,2,1, research scientist ,1,,2559.0,1,,11,4,full_time,0,3,2.0,6,1,1,no,research & development,1
33,no,,1,4,,998.0,f,4,2, healthcare representative ,2,married,5488.0,1,yes,13,1,full_time,1,2,3.0,6,1,2,yes,research & development,3
29,no,,28,4,life sciences,1120.0,f,3,1, research scientist ,4,divorced,2514.0,4,no,22,1,full_time,1,1,3.0,7,1,7,no,research & development,3
29,no,travel_frequently,10,3,,1143.0,f,3,1, research scientist ,2,divorced,,0,no,14,4,full_time,2,2,2.0,7,1,1,yes,research & development,4
34,no,,9,1,life sciences,,f,3,2, sales executive ,3,married,,1,,20,1,part_time,0,3,2.0,6,1,3,no,sales,2
28,no,travel_rarely,19,4,medical,,m,2,1, laboratory technician ,1,married,3196.0,1,,12,3,full_time,3,2,3.0,6,3,3,no,research & development,4
44,no,,2,1,life sciences,,f,4,1, research scientist ,4,married,,1,,13,4,full_time,1,5,3.0,10,7,7,no,research & development,1
31,no,travel_rarely,11,2,,1251.0,m,3,2, healthcare representative ,1,married,,1,yes,12,4,full_time,0,2,2.0,6,0,1,no,research & development,3
26,no,,4,2,life sciences,,m,3,1, research scientist ,4,,,1,yes,20,2,part_time,0,2,2.0,8,2,2,no,research & development,3
47,no,travel_rarely,1,3,,1438.0,m,3,1, research scientist ,4,,3420.0,7,no,12,3,part_time,1,2,2.0,6,1,2,yes,research & development,1
37,no,,5,2,,,m,4,1, laboratory technician ,3,single,,0,no,14,1,full_time,0,2,1.0,6,1,3,no,research & development,3
32,no,,1,4,,1574.0,m,3,2, research scientist ,1,married,4087.0,4,,14,2,full_time,1,3,2.0,6,1,2,yes,research & development,4
32,no,,2,3,medical,1671.0,m,3,2, research scientist ,2,divorced,,0,no,13,3,full_time,2,4,2.0,9,1,6,yes,research & development,4
33,no,non_travel,16,3,life sciences,,f,3,2, sales executive ,4,,5368.0,1,yes,25,3,part_time,1,2,3.0,6,1,2,no,sales,3
47,yes,,9,3,,,m,1,4, sales executive ,3,married,12936.0,7,no,11,3,full_time,0,3,1.0,23,14,10,yes,sales,3
41,yes,,1,2,,,f,3,2, sales executive ,4,,,8,yes,11,1,full_time,0,0,1.0,6,0,5,no,sales,2
35,no,travel_rarely,16,3,medical,,m,4,1, laboratory technician ,2,married,,0,,13,3,full_time,1,5,3.0,5,0,3,no,research & development,1
29,no,travel_rarely,2,3,life sciences,94.0,m,3,1, research scientist ,2,married,,0,no,23,4,full_time,1,3,3.0,5,0,4,no,research & development,3
32,no,travel_rarely,1,3,life sciences,,m,3,2, research scientist ,2,,,1,no,17,2,part_time,2,3,3.0,10,0,9,yes,research & development,2
35,no,travel_rarely,1,3,medical,,m,2,1, research scientist ,3,single,,1,no,18,1,full_time,0,3,3.0,6,0,4,no,research & development,2
56,no,,13,3,,112.0,m,1,3, manufacturing director ,4,,,4,no,11,1,full_time,0,3,2.0,6,0,2,yes,research & development,4
28,no,,4,3,medical,129.0,m,3,2, sales executive ,3,,4221.0,1,,15,2,part_time,0,3,4.0,5,0,4,yes,sales,2
25,yes,travel_rarely,5,3,,142.0,m,2,2, sales executive ,3,single,,1,yes,11,4,full_time,0,1,3.0,6,0,3,yes,sales,3
56,yes,,14,4,life sciences,161.0,f,3,1, research scientist ,2,,4963.0,9,,18,1,full_time,3,2,3.0,5,4,3,yes,research & development,2
26,no,,6,3,,164.0,f,2,1, research scientist ,2,married,,1,,19,3,full_time,0,3,2.0,5,4,3,no,research & development,3
32,yes,,9,3,medical,190.0,f,3,1, laboratory technician ,1,,4200.0,7,no,22,1,part_time,0,2,4.0,5,0,4,no,research & development,1
30,no,travel_rarely,18,3,life sciences,194.0,f,3,1, research scientist ,3,single,,1,no,14,3,part_time,0,4,2.0,5,0,4,yes,research & development,1
50,no,travel_rarely,11,3,,226.0,f,3,5, manager ,2,,,3,,15,2,full_time,0,5,3.0,5,4,4,no,unknow,3
32,no,,6,5,life sciences,231.0,m,3,1, research scientist ,3,,,3,no,20,1,full_time,0,2,,5,1,4,no,research & development,3
45,no,travel_rarely,4,2,,240.0,f,3,2, sales executive ,1,,5006.0,4,,11,1,full_time,1,3,4.0,5,0,3,no,sales,3
43,no,,7,3,,262.0,m,4,1, research scientist ,4,divorced,,4,no,14,4,full_time,3,3,4.0,5,2,2,yes,research & development,4
29,yes,,27,3,marketing,283.0,f,3,3, sales executive ,4,married,7639.0,1,,22,4,full_time,3,3,2.0,10,1,9,yes,sales,2
31,no,non_travel,1,4,medical,308.0,m,1,2, manufacturing director ,3,,,0,,12,4,full_time,1,2,3.0,5,1,4,yes,research & development,3
33,yes,,14,3,,325.0,m,3,1, laboratory technician ,4,married,,5,yes,13,3,full_time,1,2,1.0,5,0,4,no,research & development,3
31,yes,,29,2,,355.0,m,2,1, laboratory technician ,2,,,0,no,11,2,part_time,0,2,4.0,5,1,4,yes,research & development,3
37,no,,6,4,,378.0,m,3,2, sales executive ,4,,6502.0,4,no,14,2,full_time,1,5,4.0,5,0,1,yes,sales,3
50,no,,4,1,,,m,3,5, research director ,2,divorced,,3,no,14,1,full_time,2,4,2.0,10,1,6,no,research & development,1
42,no,travel_frequently,26,3,,,f,3,4, sales executive ,2,married,13525.0,5,,14,4,full_time,1,2,,20,4,8,yes,sales,3
