age,attrition,businesstravel,distancefromhome,education,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,relationshipsatisfaction,standardhours,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,remotework,department,environmentsatisfaction
29,no,travel_rarely,23,2,m,4,1, research scientist ,3,married,2700.0,1,Unknown,24,3,full_time,1,3,3,10,0,7,yes,research & development,3
55,yes,Unknown,2,1,m,3,2, sales executive ,4,single,6477.686121919585,4,Unknown,16,3,part_time,0,3,2,9,7,3,no,sales,3
28,no,Unknown,2,4,f,3,2, sales executive ,2,Unknown,6477.686121919585,1,Unknown,20,1,full_time,0,2,3,8,7,5,yes,sales,2
26,yes,Unknown,5,2,f,2,1, research scientist ,3,married,2366.0,1,Unknown,14,1,full_time,1,2,3,8,1,7,yes,research & development,3
44,no,Unknown,9,2,m,3,1, research scientist ,1,Unknown,6477.686121919585,1,yes,13,4,part_time,0,0,3,8,7,1,yes,research & development,2
41,yes,Unknown,2,4,f,1,1, laboratory technician ,4,divorced,6477.686121919585,4,yes,13,3,part_time,1,1,2,7,1,0,yes,research & development,2
31,no,travel_rarely,7,4,m,2,1, sales representative ,3,Unknown,2329.0,3,Unknown,15,2,part_time,0,2,4,7,5,2,no,sales,2
26,no,travel_frequently,28,3,m,2,2, sales executive ,1,Unknown,4294.0,1,Unknown,12,2,full_time,0,2,3,7,0,7,yes,sales,2
31,no,Unknown,12,3,f,3,2, healthcare representative ,4,Unknown,6477.686121919585,0,Unknown,11,3,full_time,2,2,1,9,8,5,no,research & development,4
32,no,Unknown,3,4,f,3,2, manufacturing director ,1,married,6725.0,1,Unknown,12,3,full_time,1,2,4,8,6,3,no,research & development,3
36,yes,travel_rarely,3,1,m,2,3, sales executive ,4,married,10325.0,1,Unknown,11,1,full_time,1,6,3,16,3,7,no,sales,3
45,no,non_travel,47,2,m,3,2, laboratory technician ,2,Unknown,4447.0,1,Unknown,12,2,full_time,0,5,2,9,0,8,yes,research & development,4
39,no,travel_rarely,2,5,m,4,3, sales executive ,3,single,6477.686121919585,0,no,18,4,full_time,0,3,3,8,0,7,no,sales,1
36,no,non_travel,8,4,m,3,2, sales executive ,4,divorced,6477.686121919585,4,no,13,4,full_time,2,3,3,7,0,7,yes,sales,1
46,no,Unknown,7,2,m,3,3, manufacturing director ,3,Unknown,10845.0,6,Unknown,13,2,full_time,1,3,3,8,0,7,no,research & development,4
54,no,travel_rarely,17,3,f,3,3, manufacturing director ,3,Unknown,6477.686121919585,8,Unknown,11,3,part_time,1,2,3,10,0,8,yes,research & development,3
30,no,travel_rarely,8,2,f,4,3, research director ,1,Unknown,6477.686121919585,0,yes,12,3,full_time,3,4,2,8,1,7,yes,research & development,2
26,no,Unknown,2,2,m,4,2, manufacturing director ,4,married,5472.0,1,Unknown,12,2,full_time,0,2,3,8,1,3,no,research & development,4
55,no,travel_frequently,18,4,m,3,2, healthcare representative ,2,married,6385.0,3,Unknown,14,4,part_time,2,3,3,8,6,7,yes,research & development,3
50,no,non_travel,1,3,f,3,2, sales executive ,3,married,6347.0,0,Unknown,12,1,full_time,1,3,3,18,0,13,yes,sales,4
32,no,non_travel,29,4,f,3,1, laboratory technician ,3,single,6477.686121919585,9,no,12,2,full_time,0,2,3,8,7,7,yes,research & development,4
53,no,travel_frequently,2,3,f,2,3, sales executive ,2,Unknown,7525.0,2,Unknown,12,1,full_time,1,2,3,15,6,12,yes,sales,3
40,no,travel_rarely,26,3,m,3,2, sales executive ,1,married,6477.686121919585,1,Unknown,14,2,part_time,1,3,2,7,7,5,no,sales,3
55,no,Unknown,2,1,m,2,4, manager ,1,single,6477.686121919585,7,no,15,2,full_time,0,3,4,9,6,2,yes,unknow,3
28,yes,non_travel,24,2,m,2,3, healthcare representative ,1,single,6477.686121919585,1,no,12,1,full_time,0,2,2,10,1,9,no,research & development,2
28,no,travel_rarely,10,3,f,3,2, research scientist ,3,single,3660.0,3,no,13,4,part_time,0,4,4,8,1,7,yes,research & development,3
35,yes,Unknown,4,3,m,3,3, sales executive ,1,Unknown,6477.686121919585,0,Unknown,22,1,part_time,0,2,3,8,4,7,yes,sales,4
33,yes,travel_frequently,36,4,f,2,2, research scientist ,3,single,6477.686121919585,1,no,22,2,full_time,0,4,3,13,3,8,yes,research & development,3
25,yes,Unknown,4,1,m,3,1, laboratory technician ,4,married,6477.686121919585,1,Unknown,15,2,full_time,1,3,4,7,5,6,yes,research & development,4
38,no,Unknown,10,4,m,2,3, sales executive ,3,Unknown,8740.0,0,yes,14,2,full_time,2,2,3,8,2,7,yes,sales,3
28,no,Unknown,12,3,f,3,3, manufacturing director ,2,Unknown,6477.686121919585,0,Unknown,17,2,part_time,3,3,2,9,1,7,yes,research & development,1
43,no,travel_frequently,27,3,f,3,3, manufacturing director ,1,married,6477.686121919585,8,no,11,3,full_time,1,1,3,8,0,1,no,research & development,3
39,yes,travel_frequently,2,3,m,3,4, healthcare representative ,4,Unknown,6477.686121919585,7,no,11,4,full_time,3,4,3,18,11,5,no,research & development,1
40,no,travel_rarely,14,3,m,2,5, research director ,3,Unknown,6477.686121919585,1,no,14,1,part_time,0,2,3,20,4,9,yes,research & development,3
29,no,travel_rarely,8,1,m,2,2, manufacturing director ,4,married,6477.686121919585,1,Unknown,15,3,part_time,1,2,2,10,1,2,yes,research & development,2
40,no,Unknown,32,4,f,3,3, research director ,3,Unknown,13499.0,9,no,17,3,full_time,0,3,2,18,2,13,no,research & development,2
26,no,travel_rarely,3,4,m,4,1, laboratory technician ,4,Unknown,6477.686121919585,1,Unknown,22,2,full_time,1,2,3,8,0,7,yes,research & development,1
35,no,travel_rarely,2,3,m,2,3, manufacturing director ,2,divorced,6477.686121919585,2,no,18,2,part_time,1,2,4,7,6,4,yes,research & development,3
53,no,Unknown,7,2,f,3,5, manager ,3,divorced,6477.686121919585,3,no,18,2,full_time,1,6,3,7,4,7,no,research & development,4
35,no,Unknown,17,4,m,3,2, sales executive ,1,Unknown,6477.686121919585,3,Unknown,15,4,full_time,3,2,3,7,1,7,yes,sales,3
33,no,Unknown,25,3,f,3,2, sales executive ,3,Unknown,6477.686121919585,1,no,12,1,full_time,1,3,2,10,0,1,yes,sales,2
36,no,Unknown,6,4,m,1,1, laboratory technician ,3,divorced,6477.686121919585,1,no,14,3,full_time,1,4,3,7,1,7,yes,research & development,3
30,no,travel_rarely,7,4,m,3,2, laboratory technician ,3,divorced,3491.0,1,Unknown,13,1,full_time,3,4,2,10,8,9,yes,research & development,3
60,no,Unknown,29,4,m,4,2, sales executive ,4,divorced,5220.0,0,Unknown,18,2,full_time,1,3,3,11,1,9,yes,sales,2
32,no,Unknown,2,2,f,3,2, research scientist ,3,single,6477.686121919585,4,yes,14,4,full_time,0,2,3,8,0,7,no,research & development,4
36,no,Unknown,1,3,f,1,3, manufacturing director ,1,divorced,10252.0,2,yes,21,3,full_time,1,2,3,7,7,7,yes,research & development,3
27,no,travel_rarely,14,3,m,3,1, research scientist ,1,Unknown,6477.686121919585,1,Unknown,14,4,part_time,2,3,2,9,6,8,yes,research & development,1
43,no,Unknown,3,3,m,1,5, research director ,4,Unknown,19740.0,3,no,14,2,part_time,1,2,3,8,0,7,yes,research & development,3
29,no,travel_rarely,1,3,f,2,4, research director ,4,divorced,6477.686121919585,3,no,14,2,full_time,2,2,2,7,1,7,yes,research & development,4
59,no,Unknown,24,4,m,3,3, manufacturing director ,4,single,6477.686121919585,6,no,12,4,full_time,0,6,2,9,5,4,no,research & development,2
43,no,travel_rarely,4,4,f,2,3, sales executive ,4,single,6477.686121919585,3,no,14,4,full_time,0,3,4,21,15,17,yes,sales,4
44,yes,travel_rarely,15,3,f,3,3, healthcare representative ,4,married,6477.686121919585,1,Unknown,11,4,part_time,1,2,3,10,0,5,yes,research & development,1
29,yes,Unknown,7,3,f,3,1, laboratory technician ,3,divorced,6477.686121919585,3,yes,13,1,full_time,2,2,3,7,7,7,yes,research & development,2
32,no,travel_rarely,8,3,m,4,2, sales executive ,4,married,6209.0,1,Unknown,15,3,full_time,2,4,4,10,0,8,no,sales,3
36,no,travel_rarely,10,4,f,3,3, healthcare representative ,3,married,7094.0,3,no,12,1,full_time,0,0,3,7,1,7,yes,research & development,4
52,yes,Unknown,5,3,m,3,3, sales executive ,2,single,6477.686121919585,9,yes,19,3,full_time,0,2,2,8,7,7,yes,sales,2
39,no,travel_rarely,33,2,m,3,2, manufacturing director ,3,single,4534.0,0,Unknown,11,1,full_time,0,6,3,8,1,7,yes,research & development,1
34,no,Unknown,9,3,m,3,3, healthcare representative ,4,Unknown,8500.0,0,Unknown,11,4,part_time,1,0,2,9,1,6,yes,research & development,4
38,no,Unknown,2,2,f,3,2, sales executive ,1,Unknown,6477.686121919585,3,Unknown,15,4,full_time,1,3,3,7,1,7,yes,sales,2
36,no,travel_frequently,12,3,f,4,2, sales executive ,1,married,4639.0,2,no,16,4,full_time,1,2,2,15,6,13,yes,sales,1
35,no,Unknown,1,3,f,2,2, laboratory technician ,4,Unknown,5363.0,0,no,12,2,part_time,1,0,3,9,0,0,no,research & development,4
55,yes,Unknown,13,4,m,4,4, sales executive ,3,Unknown,6477.686121919585,6,Unknown,17,3,part_time,0,2,2,19,3,8,yes,sales,1
34,no,Unknown,29,3,m,3,2, laboratory technician ,3,Unknown,6477.686121919585,4,Unknown,13,1,full_time,2,1,3,8,7,7,no,research & development,2
43,no,Unknown,6,3,f,2,2, research scientist ,3,single,4081.0,1,yes,14,1,full_time,0,3,1,20,1,8,no,research & development,1
42,no,travel_rarely,10,3,f,3,4, manager ,1,married,6477.686121919585,0,Unknown,14,3,part_time,1,5,3,20,0,9,no,unknow,3
26,no,travel_rarely,7,3,m,4,1, laboratory technician ,1,single,3578.0,0,no,12,4,full_time,0,2,3,7,0,7,yes,research & development,3
29,yes,Unknown,14,1,f,3,3, healthcare representative ,4,single,6477.686121919585,0,yes,12,1,full_time,0,1,3,8,7,7,yes,research & development,3
54,no,Unknown,1,3,f,3,4, research director ,4,Unknown,17328.0,6,Unknown,19,4,full_time,0,3,2,20,12,7,no,research & development,4
55,no,Unknown,1,4,m,4,4, research director ,4,divorced,6477.686121919585,2,no,13,4,part_time,2,4,4,7,0,0,yes,research & development,2
40,no,non_travel,9,4,m,3,2, laboratory technician ,3,Unknown,6477.686121919585,3,no,11,3,part_time,2,2,3,8,0,7,yes,research & development,3
31,no,Unknown,8,2,m,3,3, sales executive ,4,divorced,10793.0,1,Unknown,18,1,full_time,1,5,3,13,9,9,yes,sales,1
46,yes,Unknown,9,3,m,3,3, sales executive ,4,divorced,6477.686121919585,4,no,11,1,full_time,1,1,4,7,4,3,yes,sales,1
45,no,travel_rarely,20,3,m,1,3, healthcare representative ,1,Unknown,10851.0,2,yes,18,2,part_time,1,2,3,7,0,7,no,research & development,2
49,no,travel_rarely,7,4,m,3,3, healthcare representative ,2,divorced,10466.0,3,Unknown,14,2,full_time,2,3,3,8,0,7,no,research & development,3
29,no,travel_rarely,19,3,m,2,2, sales executive ,3,Unknown,6477.686121919585,1,Unknown,14,3,full_time,2,3,3,10,0,4,yes,sales,3
29,yes,Unknown,1,4,m,2,1, research scientist ,1,single,2362.0,6,no,13,3,full_time,0,2,1,9,0,7,yes,research & development,1
29,no,Unknown,8,1,f,1,2, healthcare representative ,1,Unknown,6477.686121919585,3,no,13,3,full_time,1,3,3,7,0,7,yes,research & development,3
40,no,travel_rarely,6,2,m,3,4, manager ,4,single,6477.686121919585,1,yes,21,4,part_time,0,2,3,21,7,7,yes,human resources,3
48,no,Unknown,16,4,f,3,2, sales executive ,3,divorced,6439.0,8,no,14,3,full_time,1,2,3,8,7,7,yes,sales,3
53,yes,Unknown,2,5,f,2,3, manufacturing director ,4,married,6477.686121919585,0,Unknown,16,2,full_time,1,4,3,33,1,9,yes,research & development,3
44,no,Unknown,7,3,f,3,5, research director ,4,Unknown,6477.686121919585,0,yes,14,4,part_time,1,4,2,22,1,10,no,research & development,2
45,no,Unknown,5,5,f,1,2, laboratory technician ,1,Unknown,5769.0,1,Unknown,14,1,full_time,0,3,3,10,1,4,no,research & development,3
45,no,non_travel,26,3,m,2,2, sales executive ,1,Unknown,4385.0,1,Unknown,15,1,part_time,1,2,3,10,4,5,no,sales,1
34,no,travel_frequently,10,4,m,4,2, manufacturing director ,4,Unknown,6477.686121919585,1,Unknown,13,1,full_time,1,3,3,9,7,2,yes,research & development,3
39,no,Unknown,10,5,m,3,2, manufacturing director ,1,Unknown,6477.686121919585,2,Unknown,13,4,full_time,3,3,3,7,7,7,no,research & development,2
27,no,Unknown,36,3,m,2,1, laboratory technician ,1,divorced,4066.0,1,no,11,1,full_time,2,3,3,7,0,7,yes,research & development,3
45,no,travel_rarely,2,2,f,2,2, manufacturing director ,4,divorced,6477.686121919585,1,Unknown,19,1,full_time,2,3,3,10,3,9,yes,research & development,4
44,no,Unknown,1,5,m,3,2, human resources ,4,married,6477.686121919585,4,yes,11,3,full_time,0,3,3,10,0,2,yes,human resources,1
25,no,Unknown,2,1,m,4,2, manufacturing director ,3,divorced,5206.0,1,Unknown,17,3,full_time,2,6,3,7,0,7,no,research & development,4
49,no,Unknown,1,3,m,3,4, manager ,3,single,6477.686121919585,4,Unknown,14,1,part_time,0,2,3,8,0,0,yes,unknow,3
48,yes,travel_frequently,7,2,f,3,1, sales representative ,3,Unknown,2655.0,2,Unknown,11,3,part_time,2,3,3,9,7,7,no,sales,4
26,no,Unknown,7,3,m,3,1, laboratory technician ,4,Unknown,2570.0,1,no,20,3,part_time,0,5,3,7,5,7,yes,research & development,4
44,no,travel_rarely,2,3,f,4,3, healthcare representative ,4,Unknown,6477.686121919585,1,Unknown,19,2,full_time,1,2,3,8,6,7,yes,research & development,3
36,no,Unknown,2,4,f,3,2, sales representative ,4,single,4502.0,3,Unknown,15,3,full_time,0,2,2,13,6,7,yes,sales,3
46,no,Unknown,13,4,m,3,2, healthcare representative ,2,single,6477.686121919585,6,no,14,4,full_time,0,3,3,10,0,9,yes,research & development,3
35,no,Unknown,27,4,m,3,2, manufacturing director ,3,married,6477.686121919585,2,Unknown,16,2,part_time,1,3,3,7,0,7,yes,research & development,4
30,no,travel_frequently,2,4,f,2,1, research scientist ,1,Unknown,4968.0,0,Unknown,16,4,part_time,0,2,3,9,0,7,no,research & development,4
30,no,Unknown,15,2,m,2,3, sales executive ,1,Unknown,6477.686121919585,2,no,11,1,part_time,1,2,3,7,1,7,yes,sales,3
33,no,non_travel,2,3,f,3,2, sales executive ,2,Unknown,5147.0,8,no,15,4,full_time,0,2,2,11,1,7,yes,sales,4
32,no,Unknown,5,4,m,3,1, research scientist ,2,single,2718.0,2,no,14,2,full_time,0,3,3,7,0,7,yes,research & development,2
43,no,travel_rarely,2,3,m,3,1, human resources ,4,Unknown,3539.0,0,no,13,2,part_time,0,5,3,9,1,8,no,human resources,2
31,no,travel_rarely,29,4,f,2,2, sales executive ,4,Unknown,5468.0,1,Unknown,14,1,full_time,2,3,3,12,5,7,yes,sales,1
35,yes,Unknown,27,3,m,3,2, sales executive ,4,Unknown,5813.0,1,Unknown,18,4,part_time,0,2,3,10,7,7,no,sales,3
35,no,non_travel,2,2,m,3,2, manufacturing director ,4,divorced,6477.686121919585,2,no,14,3,full_time,1,6,3,7,1,7,no,research & development,2
30,no,Unknown,10,3,f,3,3, manufacturing director ,3,single,9667.0,9,no,14,2,full_time,0,3,3,7,0,2,no,research & development,1
46,yes,travel_rarely,19,2,f,3,2, healthcare representative ,2,married,6477.686121919585,4,no,22,4,full_time,1,2,4,9,3,7,no,research & development,4
45,no,non_travel,2,4,f,3,2, sales executive ,3,married,5154.0,4,Unknown,22,2,full_time,2,3,4,8,5,7,no,sales,3
43,no,travel_frequently,2,4,m,3,2, sales executive ,4,married,5675.0,1,Unknown,20,3,full_time,1,5,3,7,7,7,no,sales,1
46,yes,Unknown,10,3,f,3,3, sales executive ,2,Unknown,7314.0,5,Unknown,21,3,part_time,3,2,3,8,0,7,yes,sales,3
40,no,travel_rarely,1,4,m,3,4, manager ,1,Unknown,6477.686121919585,2,Unknown,11,1,full_time,1,3,3,19,11,16,yes,research & development,1
27,no,travel_rarely,2,2,f,4,2, sales executive ,3,single,6477.686121919585,0,no,14,2,full_time,0,5,2,8,0,7,no,sales,1
42,no,Unknown,6,3,m,3,3, research director ,1,married,6477.686121919585,9,no,13,2,part_time,1,3,4,13,5,7,yes,research & development,3
26,no,travel_frequently,6,3,m,4,1, laboratory technician ,4,married,6477.686121919585,0,no,18,1,full_time,1,3,3,7,7,7,yes,research & development,3
28,no,travel_frequently,1,2,m,2,2, sales executive ,4,married,6477.686121919585,1,Unknown,12,3,full_time,1,2,3,7,0,7,yes,sales,3
47,no,Unknown,14,4,m,3,2, research scientist ,2,married,6477.686121919585,8,Unknown,18,3,part_time,1,4,4,8,1,7,no,research & development,3
34,no,travel_rarely,13,4,m,3,3, sales executive ,3,divorced,6477.686121919585,1,no,18,3,full_time,1,2,2,8,1,1,yes,sales,4
26,no,Unknown,1,3,m,3,1, laboratory technician ,1,single,6477.686121919585,0,no,13,4,full_time,0,6,3,7,7,6,yes,research & development,3
27,no,travel_rarely,9,3,m,3,2, sales executive ,4,Unknown,6477.686121919585,1,Unknown,14,1,full_time,0,5,3,7,0,7,no,sales,4
31,yes,travel_frequently,26,4,m,3,2, sales executive ,4,Unknown,6477.686121919585,1,yes,11,3,full_time,0,4,3,10,0,8,yes,sales,1
33,no,travel_frequently,7,2,m,3,2, healthcare representative ,3,divorced,6477.686121919585,1,Unknown,20,3,full_time,3,2,3,9,2,8,yes,research & development,4
31,no,Unknown,10,3,f,3,3, research director ,3,married,6477.686121919585,4,no,20,3,full_time,1,2,4,11,4,8,yes,research & development,3
35,no,Unknown,9,4,m,3,2, research scientist ,3,Unknown,5098.0,1,no,19,2,full_time,0,5,3,10,0,8,yes,research & development,2
33,no,travel_rarely,15,2,f,3,2, healthcare representative ,4,married,6477.686121919585,0,yes,13,1,full_time,1,6,3,9,8,1,yes,research & development,2
39,no,travel_rarely,24,1,m,3,2, research scientist ,4,single,6477.686121919585,7,no,13,1,full_time,0,2,3,7,1,7,no,research & development,1
36,no,travel_rarely,46,3,f,2,3, sales executive ,4,married,6477.686121919585,0,no,19,3,full_time,2,2,3,9,3,4,yes,sales,4
41,no,travel_rarely,28,4,f,2,4, manufacturing director ,2,married,13570.0,0,no,23,3,full_time,1,3,3,20,0,10,yes,research & development,1
34,no,Unknown,28,3,f,2,2, sales executive ,3,married,6712.0,1,no,21,4,full_time,2,2,3,8,1,7,no,sales,4
38,no,travel_rarely,10,2,f,3,2, sales executive ,4,married,6477.686121919585,1,no,11,3,full_time,1,1,3,10,1,9,yes,sales,1
39,no,travel_rarely,6,1,m,2,3, healthcare representative ,1,Unknown,9991.0,4,Unknown,15,1,part_time,1,5,3,7,1,7,yes,research & development,4
34,no,travel_rarely,7,4,f,3,3, research director ,2,single,6477.686121919585,0,no,11,3,full_time,0,4,3,12,2,11,no,research & development,1
44,no,travel_rarely,7,4,f,2,3, healthcare representative ,4,married,10248.0,3,Unknown,14,4,full_time,1,4,3,22,5,17,yes,research & development,1
46,no,Unknown,5,4,m,3,2, sales executive ,4,single,6477.686121919585,4,Unknown,21,3,full_time,0,4,3,9,0,8,yes,sales,1
41,no,travel_frequently,10,3,m,2,4, manager ,1,divorced,6477.686121919585,4,Unknown,13,2,full_time,1,2,2,7,7,7,no,research & development,4
39,no,Unknown,2,4,f,3,3, healthcare representative ,3,single,10938.0,0,no,25,4,full_time,0,1,3,19,11,8,no,research & development,3
42,no,travel_rarely,2,3,f,2,1, laboratory technician ,1,divorced,2593.0,0,yes,11,3,part_time,1,4,3,9,7,8,yes,research & development,4
33,no,travel_frequently,5,4,f,3,3, manager ,2,married,11878.0,6,Unknown,11,2,part_time,2,2,3,10,8,8,yes,research & development,4
35,no,travel_rarely,5,4,m,3,3, manufacturing director ,2,single,8095.0,0,no,13,4,part_time,0,5,3,16,0,13,yes,research & development,3
33,yes,travel_rarely,15,1,m,3,3, manager ,3,married,6477.686121919585,7,Unknown,12,4,full_time,0,2,4,7,7,7,yes,unknow,2
40,no,travel_rarely,6,3,f,3,4, manufacturing director ,3,single,6477.686121919585,7,no,15,3,full_time,0,3,3,20,5,13,no,research & development,2
41,no,travel_rarely,10,4,m,2,5, manager ,4,divorced,6477.686121919585,3,no,15,2,full_time,3,2,2,21,12,6,no,unknow,2
27,no,Unknown,7,3,f,2,2, healthcare representative ,1,Unknown,6477.686121919585,8,no,19,1,full_time,0,2,1,7,0,7,no,research & development,4
52,no,travel_rarely,3,4,m,2,4, manager ,1,Unknown,16856.0,1,Unknown,11,1,full_time,0,3,4,34,1,16,yes,unknow,3
51,no,travel_rarely,26,4,f,3,4, manager ,3,married,6477.686121919585,2,no,14,3,full_time,1,2,2,20,4,17,no,unknow,1
47,no,travel_rarely,2,2,f,3,2, sales executive ,4,Unknown,4537.0,0,Unknown,22,1,full_time,1,2,3,7,7,7,yes,sales,3
50,no,non_travel,2,4,m,3,4, manager ,1,divorced,17924.0,1,Unknown,11,4,full_time,1,3,3,31,14,7,no,research & development,1
35,no,travel_rarely,21,1,f,3,2, healthcare representative ,4,married,4014.0,1,Unknown,25,4,full_time,1,2,1,10,0,7,yes,research & development,4
39,no,travel_rarely,1,1,f,2,4, manufacturing director ,4,married,12742.0,1,no,16,3,full_time,1,3,3,21,11,8,yes,research & development,4
39,no,travel_frequently,22,3,f,3,3, manufacturing director ,1,single,6477.686121919585,1,Unknown,13,3,full_time,0,2,3,21,2,8,no,research & development,4
41,no,Unknown,7,2,f,4,1, research scientist ,3,Unknown,3376.0,1,no,13,3,part_time,0,3,3,10,0,8,no,research & development,2
44,yes,Unknown,1,2,m,2,3, human resources ,1,married,10482.0,9,no,14,4,part_time,1,1,3,20,3,6,yes,human resources,2
42,no,Unknown,2,2,m,3,4, manager ,1,Unknown,6477.686121919585,0,no,17,4,full_time,1,3,3,22,13,7,no,unknow,4
52,no,travel_rarely,7,4,m,3,3, healthcare representative ,2,single,6477.686121919585,7,Unknown,19,4,full_time,0,4,3,8,4,0,yes,research & development,2
38,no,Unknown,1,3,m,4,1, human resources ,3,Unknown,6477.686121919585,1,no,13,4,full_time,1,2,4,7,5,0,yes,human resources,3
46,no,Unknown,1,2,f,3,1, human resources ,1,Unknown,6477.686121919585,6,Unknown,12,3,part_time,0,3,4,7,5,7,yes,human resources,4
35,no,Unknown,4,4,m,3,2, research scientist ,3,single,4249.0,1,Unknown,11,2,full_time,0,3,3,9,1,1,no,research & development,3
28,no,travel_rarely,29,1,m,1,2, manufacturing director ,2,married,6549.0,1,Unknown,14,2,full_time,2,2,2,8,1,7,yes,research & development,3
44,no,Unknown,28,3,m,3,4, research director ,1,married,6477.686121919585,3,no,13,3,full_time,1,1,4,20,14,17,yes,research & development,4
50,no,Unknown,22,5,m,1,4, research director ,4,Unknown,14411.0,1,Unknown,13,4,full_time,0,2,3,32,13,9,no,research & development,3
55,no,travel_rarely,23,5,m,2,5, manager ,4,Unknown,19586.0,1,no,21,3,part_time,1,3,3,36,2,13,yes,unknow,3
39,no,Unknown,6,3,m,4,3, sales executive ,3,married,8237.0,2,no,11,1,full_time,1,3,3,7,7,6,yes,sales,4
49,no,Unknown,13,4,f,3,1, laboratory technician ,1,Unknown,3211.0,1,Unknown,14,4,full_time,1,3,2,9,1,4,yes,research & development,1
45,no,Unknown,28,2,f,2,4, research director ,2,single,16704.0,1,Unknown,11,3,full_time,0,2,3,21,8,6,no,research & development,4
46,no,Unknown,2,3,m,3,3, sales executive ,4,Unknown,6477.686121919585,4,Unknown,12,2,full_time,1,5,2,10,0,3,no,sales,3
27,no,Unknown,15,3,f,2,1, research scientist ,1,married,4774.0,0,no,19,4,full_time,1,2,3,7,7,3,no,research & development,4
42,no,travel_rarely,2,3,m,3,5, manager ,3,married,6477.686121919585,5,Unknown,11,1,full_time,0,2,2,22,4,14,yes,unknow,1
49,no,Unknown,2,3,m,2,2, sales executive ,2,married,6477.686121919585,2,Unknown,14,4,part_time,0,3,2,9,0,8,yes,sales,4
29,no,travel_rarely,15,2,f,2,2, laboratory technician ,3,single,6477.686121919585,0,yes,12,4,full_time,0,3,3,9,0,8,yes,research & development,4
34,no,non_travel,12,4,m,3,2, sales executive ,3,Unknown,4568.0,0,no,20,3,full_time,0,2,3,9,8,7,no,sales,1
37,no,Unknown,1,4,m,2,2, manufacturing director ,3,divorced,5993.0,1,no,18,3,part_time,1,2,3,7,0,7,no,research & development,1
36,no,Unknown,11,3,m,2,2, manufacturing director ,2,single,6499.0,1,no,13,3,full_time,0,3,3,6,0,3,yes,research & development,2
45,no,Unknown,29,3,m,3,1, research scientist ,4,single,3452.0,5,Unknown,13,2,full_time,0,2,2,6,0,3,yes,research & development,3
29,no,travel_rarely,15,3,m,3,1, research scientist ,4,Unknown,6477.686121919585,1,no,19,1,full_time,0,1,3,6,1,5,no,research & development,3
26,no,Unknown,1,3,f,3,2, manufacturing director ,2,Unknown,6397.0,1,no,20,1,part_time,1,6,1,6,1,4,no,research & development,3
28,no,Unknown,9,4,m,3,2, sales executive ,4,single,6477.686121919585,1,no,16,4,full_time,0,1,3,7,0,7,yes,sales,2
42,no,travel_frequently,30,4,f,2,2, healthcare representative ,4,married,6477.686121919585,0,no,11,4,part_time,3,4,4,6,0,4,yes,research & development,4
31,no,travel_rarely,2,1,m,3,2, sales executive ,4,Unknown,6477.686121919585,4,yes,13,3,part_time,0,2,4,6,0,5,yes,sales,2
37,no,travel_rarely,47,3,f,3,3, manufacturing director ,4,single,6477.686121919585,4,Unknown,17,4,full_time,0,3,4,6,1,2,yes,research & development,4
37,no,non_travel,9,4,m,3,3, sales executive ,2,divorced,6477.686121919585,1,no,13,4,full_time,1,6,3,9,7,7,no,sales,1
37,no,travel_rarely,1,4,f,3,2, manufacturing director ,2,married,6477.686121919585,6,Unknown,12,2,full_time,1,2,2,6,4,3,no,research & development,2
24,no,travel_rarely,23,3,m,4,1, research scientist ,4,Unknown,2725.0,1,Unknown,11,2,full_time,2,3,3,6,1,4,yes,research & development,2
50,no,Unknown,3,3,m,3,5, manager ,2,married,6477.686121919585,1,no,11,3,part_time,1,2,3,32,10,7,no,unknow,1
34,no,Unknown,1,2,m,2,1, research scientist ,4,Unknown,3622.0,1,yes,13,4,full_time,1,3,3,6,1,3,yes,research & development,2
27,no,travel_frequently,3,1,f,4,2, sales executive ,4,Unknown,6477.686121919585,1,Unknown,20,2,part_time,2,3,3,6,0,4,no,sales,4
25,no,Unknown,42,1,f,3,2, sales executive ,4,single,6180.0,1,no,23,2,full_time,0,5,2,6,1,4,no,sales,4
34,no,Unknown,25,3,m,3,2, sales executive ,4,single,6274.0,1,no,22,3,full_time,0,5,3,6,1,4,yes,sales,4
34,no,Unknown,2,4,f,2,1, research scientist ,1,Unknown,4381.0,1,Unknown,11,3,part_time,0,3,3,6,1,3,yes,research & development,3
35,no,Unknown,7,3,m,3,3, manufacturing director ,3,single,6477.686121919585,3,no,21,2,full_time,0,3,4,8,1,6,no,research & development,3
35,no,Unknown,16,1,f,2,1, research scientist ,1,Unknown,2559.0,1,Unknown,11,4,full_time,0,3,2,6,1,1,no,research & development,1
33,no,Unknown,1,4,f,4,2, healthcare representative ,2,married,5488.0,1,yes,13,1,full_time,1,2,3,6,1,2,yes,research & development,3
29,no,Unknown,28,4,f,3,1, research scientist ,4,divorced,2514.0,4,no,22,1,full_time,1,1,3,7,1,7,no,research & development,3
29,no,travel_frequently,10,3,f,3,1, research scientist ,2,divorced,6477.686121919585,0,no,14,4,full_time,2,2,2,7,1,1,yes,research & development,4
